"battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y"
18.293729,16.13583946,18.293729,16.30688667,18.293729,0,18.293729,0.01853123121,
18.79701,15.98115158,18.79701,16.23758316,18.79701,0.0991999954,18.79701,0.06749960035,
19.299464,16.01015472,19.299464,16.16888046,19.299464,0,19.299464,0.05013817549,
19.803016,15.8458004,19.803016,16.08594131,19.803016,0.7191999555,19.803016,0.3820602298,
20.304992,15.78779221,20.304992,16.00161743,20.304992,1.066399932,20.304992,0.7752453089,
20.808221,15.68144512,20.808221,15.90360546,20.808221,2.355999947,20.808221,1.325074196,
21.310567,15.60410118,21.310567,15.80809498,21.310567,2.269199848,21.310567,1.896955967,
21.801777,15.49775314,21.801777,15.70008087,21.801777,3.000799894,21.801777,2.474606752,
22.30415,15.50742149,22.30415,15.62629604,22.30415,3.050400019,22.30415,2.796066046,
22.807448,15.43007755,22.807448,15.56600094,22.807448,3.050400019,22.807448,2.93834281,
23.309703,15.51708889,23.309703,15.52128601,23.309703,2.876799822,23.309703,3.003034353,
23.812988,15.4204092,23.812988,15.49551868,23.812988,2.901600122,23.812988,2.968430519,
24.315334,15.51708889,24.315334,15.48129559,24.315334,2.851999998,24.315334,2.876212835,
24.81851,15.40107346,24.81851,15.47027683,24.81851,2.616400003,24.81851,2.811905622,
25.321788,15.37206936,25.321788,15.38752937,25.321788,3.471999884,25.321788,3.52665782,
25.812193,15.12070274,25.812193,15.34941196,25.812193,3.73239994,25.812193,3.565729618,
26.315375,15.4204092,26.315375,15.32635307,26.315375,3.43479991,26.315375,3.591138363,
26.817756,15.28505802,26.817756,15.30585003,26.817756,3.050400019,26.817756,3.542441368,
27.321001,15.17870998,27.321001,15.28959465,27.321001,3.223999977,27.321001,3.547139168,
27.823372,15.21738243,27.823372,15.26368713,27.823372,3.484400034,27.823372,3.652680397,
28.322661,15.30439377,28.322661,15.23478222,28.322661,3.43479991,28.322661,3.764688492,
28.824954,15.12070274,28.824954,15.22253704,28.824954,3.447199821,28.824954,3.736173868,
29.328126,15.09169865,29.328126,15.21353626,29.328126,3.881200075,29.328126,3.652873278,
29.831373,15.4204092,29.831373,15.22049236,29.831373,3.075199842,29.831373,3.542247057,
30.333821,15.29472637,30.333821,15.26049423,30.333821,2.727999926,30.333821,3.01864934,
30.824205,15.33339787,30.824205,15.27756023,30.824205,2.566799879,30.824205,2.892781019,
31.327375,15.28505802,31.327375,15.28921986,31.327375,2.876799822,31.327375,2.83155036,
31.82979,15.31406212,31.82979,15.2949667,31.82979,2.889199972,31.82979,2.822771311,
32.333033,15.38173771,32.333033,15.29283619,32.333033,2.690799952,32.333033,2.798817635,
32.836201,14.98535061,32.836201,15.28796768,32.836201,2.914000034,32.836201,2.785707712,
33.338789,15.26572227,33.338789,15.28567028,33.338789,2.542000055,33.338789,2.780493259,
33.841833,15.22704983,33.841833,15.28485489,33.841833,2.963600159,33.841833,2.73700285,
34.332195,15.17870998,34.332195,15.27525711,34.332195,2.542000055,34.332195,2.75265789,
34.835324,15.28505802,34.835324,15.26789474,34.835324,2.789999962,34.835324,2.729432821,
35.337843,15.28505802,35.337843,15.27080345,35.337843,2.591599941,35.337843,2.723248482,
