"battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y"
45.072736,12.26865196,45.072736,12.33691597,45.072736,0,45.072736,0.00983593706,
45.5759,12.14296818,45.5759,12.29884243,45.5759,0,45.5759,0.01703579351,
46.079241,12.23964787,46.079241,12.26642609,46.079241,0,46.079241,0.007292188238,
46.582364,12.21064377,46.582364,12.24321651,46.582364,0,46.582364,0.003121429123,
47.085574,12.04628849,47.085574,12.21881485,47.085574,1.132763743,47.085574,0.07122639567,
47.588843,11.98828125,47.588843,12.15349293,47.588843,3.457910061,47.588843,1.717232466,
48.091983,11.76591778,48.091983,12.06174755,48.091983,11.02954102,48.091983,4.724106789,
48.595202,11.76591778,48.595202,11.90086365,48.595202,13.23544884,48.595202,9.953177452,
49.08642,11.68857384,49.08642,11.80294514,49.08642,14.2787838,49.08642,11.89552593,
49.589565,11.70790958,49.589565,11.73805237,49.589565,14.60668945,49.589565,12.87957382,
50.092723,11.63056564,50.092723,11.69092751,50.092723,12.16230488,50.092723,13.18751907,
50.595929,11.45654297,50.595929,11.64715481,50.595929,13.44411564,50.595929,13.28273773,
51.099254,11.59189415,51.099254,11.60793781,51.099254,13.11621094,51.099254,13.30054474,
51.598326,11.50488281,51.598326,11.59250641,51.598326,12.49020958,51.598326,13.19199753,
52.101567,11.66923809,52.101567,11.58014202,52.101567,13.77202129,52.101567,13.11492443,
52.592748,10.98281193,52.592748,11.49184322,52.592748,19.4358387,52.592748,16.01125908,
53.095995,11.48554611,53.095995,11.46261787,53.095995,15.29230976,53.095995,15.75366402,
53.599224,11.40820312,53.599224,11.44660568,53.599224,14.39802265,53.599224,15.31270409,
54.098358,11.40820312,54.098358,11.42784214,54.098358,15.05383301,54.098358,15.1603899,
54.601618,11.21484375,54.601618,11.42862415,54.601618,16.66354942,54.601618,15.08013344,
55.104808,11.43720627,55.104808,11.41548824,55.104808,13.50373554,55.104808,15.14099216,
55.595877,11.45654297,55.595877,11.4068327,55.595877,15.26249981,55.595877,15.02239513,
56.099223,11.33085918,56.099223,11.40334511,56.099223,15.76926231,56.099223,14.90308952,
56.602393,11.41787052,56.602393,11.4046917,56.602393,14.09992695,56.602393,14.64843559,
57.102384,11.65956974,57.102384,11.43443775,57.102384,10.25449181,57.102384,13.25163555,
57.603192,11.5822258,57.603192,11.48557568,57.603192,9.151537895,57.603192,11.21282291,
58.103192,11.5822258,58.103192,11.52202988,58.103192,11.74497032,58.103192,10.70971584,
58.607176,11.55322266,58.607176,11.51421833,58.607176,12.54982853,58.607176,11.50899887,
59.108803,11.5822258,59.108803,11.50984383,59.108803,12.10268497,59.108803,11.77770519,
59.610415,11.37919903,59.610415,11.50784874,59.610415,12.52001953,59.610415,11.93435955,
60.112728,11.52421856,60.112728,11.49983788,60.112728,12.43059063,60.112728,12.04560375,
60.604955,11.53388596,60.604955,11.50040722,60.604955,11.98344707,60.604955,12.051301,
61.107208,11.55322266,61.107208,11.49231052,61.107208,11.65554142,61.107208,11.98564243,
61.610361,11.6015625,61.610361,11.48853588,61.610361,11.89401817,61.610361,12.03067684,
62.108763,11.49521446,62.108763,11.48888779,62.108763,12.04306602,62.108763,12.08813286,
62.612738,11.46621037,62.612738,11.49117947,62.612738,12.46040058,62.612738,12.0742321,
63.116777,11.50488281,63.116777,11.44626331,63.116777,15.82888126,63.116777,13.68629646,
63.619963,11.11816406,63.619963,11.37865257,63.619963,15.91831017,63.619963,14.73092842,
64.111231,11.38886642,64.111231,11.35965252,64.111231,13.71240234,64.111231,14.81838512,
64.614384,11.35019493,64.614384,11.35021114,64.614384,13.44411564,64.614384,14.94750595,
65.117649,11.49521446,65.117649,11.35308647,65.117649,14.2489748,65.117649,14.65264893,
65.620824,11.35019493,65.620824,11.34717083,65.620824,16.99145508,65.620824,14.6136837,
66.123951,11.24384689,66.123951,11.34173203,66.123951,15.05383301,66.123951,14.67120552,
66.62718,11.42753887,66.62718,11.32639027,66.62718,15.26249981,66.62718,14.83080959,
67.118385,11.16650391,67.118385,11.32462692,67.118385,13.20563984,67.118385,14.52907467,
67.621513,11.5822258,67.621513,11.35692024,67.621513,11.62573242,67.621513,13.414855,
68.124797,11.63056564,68.124797,11.39485931,68.124797,10.67182636,68.124797,11.71480179,
68.627221,11.49521446,68.627221,11.42891216,68.627221,10.43334961,68.627221,11.21081734,
69.131226,11.48554611,69.131226,11.44537449,69.131226,10.67182636,69.131226,11.04912567,
69.63441,11.50488281,69.63441,11.46019077,69.63441,10.40353966,69.63441,10.92049694,
70.137675,11.44687462,70.137675,11.46692848,70.137675,10.88049316,70.137675,10.85499001,
70.64,11.48554611,70.64,11.47550106,70.64,9.926587105,70.64,10.83657646,
71.143157,11.52421856,71.143157,11.47521305,71.143157,11.44687462,71.143157,10.80817604,
71.635189,11.46621037,71.635189,11.47381496,71.635189,11.50649357,71.635189,10.77866268,
72.144842,11.51455021,72.144842,11.48010159,72.144842,10.85068321,72.144842,10.73365307,
72.636804,11.44687462,72.636804,11.47300911,72.636804,11.32763672,72.636804,10.74781132,
73.139226,11.34052658,73.139226,11.47508812,73.139226,10.52277851,73.139226,10.76527691,
