"battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y"
34.008527,16.31953049,34.008527,16.51295471,34.008527,0,34.008527,0.07115184516,
34.499721,16.15517426,34.499721,16.43191338,34.499721,0.123999998,34.499721,0.1011535004,
35.002954,16.17451096,35.002954,16.35354996,35.002954,0,35.002954,0.08670836687,
35.506174,16.2035141,35.506174,16.29988289,35.506174,0.0495999977,35.506174,0.04538171366,
36.00618,16.12617111,36.00618,16.2575531,36.00618,0.2479999959,36.00618,0.07298088819,
36.509339,16.02949142,36.509339,16.18245697,36.509339,0.6944000125,36.509339,0.4786019027,
37.012589,16.01982307,37.012589,16.13436127,37.012589,0.7687999606,37.012589,0.6210109591,
37.515796,15.92314434,37.515796,16.07395554,37.515796,1.128399968,37.515796,0.8934482336,
38.006923,15.86513615,38.006923,16.03160286,38.006923,1.549999952,38.006923,1.083321333,
38.510157,15.8167963,38.510157,15.9596262,38.510157,1.636800051,38.510157,1.454340696,
39.013375,15.82646465,39.013375,15.89650917,39.013375,2.095600128,39.013375,1.707387805,
39.516528,15.68144512,39.516528,15.81895924,39.516528,2.232000113,39.516528,2.086443186,
40.019715,15.65244102,40.019715,15.77069378,40.019715,2.504799843,40.019715,2.244984388,
40.522976,15.56542873,40.522976,15.72345829,40.522976,2.86439991,40.522976,2.351988554,
41.026198,15.50742149,41.026198,15.65939045,41.026198,2.814800024,41.026198,2.614770889,
41.517415,14.41494083,41.517415,15.54271412,41.517415,6.894399643,41.517415,3.259501219,
42.02063,15.26572227,42.02063,15.46267986,42.02063,3.893599749,42.02063,3.721653223,
42.523793,15.32372952,42.523793,15.42374802,42.523793,3.43479991,42.523793,3.669130087,
43.026969,15.27538967,43.026969,15.3926506,43.026969,3.943200111,43.026969,3.661265135,
43.529377,15.38173771,43.529377,15.3700676,43.529377,3.099999905,43.529377,3.59611702,
44.021307,14.98535061,44.021307,15.34087658,44.021307,3.509199858,44.021307,3.582267046,
44.524595,15.29472637,44.524595,15.32371044,44.524595,3.881200075,44.524595,3.613805056,
45.027869,15.29472637,45.027869,15.31052399,45.027869,4.104399681,45.027869,3.630250454,
45.531755,15.17870998,45.531755,15.30241966,45.531755,3.64560008,45.531755,3.559862852,
46.023,15.28505802,46.023,15.29096508,46.023,3.471999884,46.023,3.587791443,
46.526149,15.43007755,46.526149,15.31047344,46.526149,2.368399858,46.526149,3.149951696,
47.029288,15.32372952,47.029288,15.34243011,47.029288,2.901600122,47.029288,2.924064159,
47.532636,15.32372952,47.532636,15.35085297,47.532636,2.827199936,47.532636,2.896145105,
48.023761,15.41074181,48.023761,15.3539381,48.023761,2.889199972,48.023761,2.874032974,
48.52696,15.4204092,48.52696,15.34523487,48.52696,2.876799822,48.52696,2.897490025,
49.030196,15.41074181,49.030196,15.34293747,49.030196,3.075199842,49.030196,2.882633448,
49.533344,15.34306622,49.533344,15.3414135,49.533344,3.038000107,49.533344,2.899765015,
50.036576,15.32372952,50.036576,15.34085178,50.036576,2.95119977,50.036576,2.879338026,
50.527804,15.38173771,50.527804,15.33775234,50.527804,2.802399874,50.527804,2.868272781,
51.030945,15.32372952,51.030945,15.32712841,51.030945,3.137199879,51.030945,2.874748945,
51.534218,15.38173771,51.534218,15.32356739,51.534218,2.690799952,51.534218,2.872198582,
52.037552,15.36240196,52.037552,15.31045532,52.037552,3.062799931,52.037552,2.893452883,
53.546987,15.24638653,53.546987,15.18634796,53.546987,3.124799967,53.546987,3.435534477,
54.050177,15.26572227,54.050177,15.17498875,54.050177,3.174399853,54.050177,3.4353652,
54.541396,15.16904259,54.541396,15.15277004,54.541396,3.484400034,54.541396,3.460588217,
55.044636,15.00468731,55.044636,15.14440727,55.044636,3.63319993,55.044636,3.398355007,
55.547958,15.21738243,55.547958,15.1455555,55.547958,3.410000086,55.547958,3.379541159,
56.051738,15.22704983,56.051738,15.13760281,56.051738,3.199199915,56.051738,3.352319241,
56.55422,15.15937424,56.55422,15.12465096,56.55422,3.509199858,56.55422,3.370881319,
57.05745,15.33339787,57.05745,15.15473938,57.05745,2.740399837,57.05745,3.05471611,
57.549369,15.30439377,57.549369,15.18583965,57.549369,2.789999962,57.549369,2.873957872,
58.051808,15.21738243,58.051808,15.19167137,58.051808,3.000799894,58.051808,2.83231473,
58.555794,15.28505802,58.555794,15.20143223,58.555794,2.752799988,58.555794,2.789074421,
59.05901,15.31406212,59.05901,15.20697594,59.05901,2.95119977,59.05901,2.753671885,
59.562148,15.14970684,59.562148,15.20671844,59.562148,2.86439991,59.562148,2.76063776,
60.053338,15.24638653,60.053338,15.20663548,60.053338,2.789999962,60.053338,2.773949146,
60.556496,15.23671818,60.556496,15.20109272,60.556496,2.641199827,60.556496,2.788648605,
61.059773,15.23671818,61.059773,15.20284271,61.059773,2.67840004,61.059773,2.787027359,
61.56298,15.15937424,61.56298,15.19981098,61.56298,2.876799822,61.56298,2.782798767,
62.066177,15.101367,62.066177,15.19706345,62.066177,2.802399874,62.066177,2.789368629,
62.557432,15.17870998,62.557432,15.18583965,62.557432,3.000799894,62.557432,2.800593615,
63.060642,15.14003849,63.060642,15.12912273,63.060642,3.087599993,63.060642,3.210532904,
63.563692,15.02402306,63.563692,15.10741043,63.563692,3.360399961,63.563692,3.264083624,
64.066886,15.14003849,64.066886,15.09487629,64.066886,3.013199806,64.066886,3.271839857,
64.570196,15.05302715,64.570196,15.0705204,64.570196,3.124799967,64.570196,3.323313951,
65.073423,15.13037014,65.073423,15.05894947,65.073423,2.988399982,65.073423,3.318574429,
65.576516,15.101367,65.576516,15.06374264,65.576516,3.273600101,65.576516,3.257511139,
66.067794,15.13037014,66.067794,15.05209637,66.067794,3.43479991,66.067794,3.296398878,
66.570905,15.0723629,66.570905,15.0432272,66.570905,3.112400055,66.570905,3.276672125,
67.074202,15.16904259,67.074202,15.04048538,67.074202,3.335600138,67.074202,3.245993853,
67.577446,15.12070274,67.577446,15.06196308,67.577446,2.318799973,67.577446,3.076685667,
68.068621,15.13037014,68.068621,15.07845879,68.068621,3.124799967,68.068621,2.933196068,
68.571759,15.16904259,68.571759,15.08399296,68.571759,2.876799822,68.571759,2.844419479,
69.07494,15.18837833,69.07494,15.09221649,69.07494,3.124799967,69.07494,2.80137372,
69.578211,15.16904259,69.578211,15.10214233,69.578211,2.665999889,69.578211,2.779371262,
70.081403,15.03369045,70.081403,15.10943985,70.081403,2.901600122,70.081403,2.758492947,
70.572618,15.18837833,70.572618,15.11334991,70.572618,2.690799952,70.572618,2.745514393,
71.075811,15.0723629,71.075811,15.10773087,71.075811,2.938799858,71.075811,2.748821497,
71.578953,15.15937424,71.578953,15.11226273,71.578953,2.789999962,71.578953,2.767725229,
72.082138,15.17870998,72.082138,15.10333061,72.082138,2.604000092,72.082138,2.766531467,
