"battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y"
31.135551,16.31953049,31.135551,16.51273155,31.135551,0,31.135551,0.0349989906,
31.63874,16.17451096,31.63874,16.43154907,31.63874,0.2727999985,31.63874,0.09538055211,
32.142029,16.19384766,32.142029,16.35413551,32.142029,0.1115999967,32.142029,0.09555718303,
32.64192,16.2035141,32.64192,16.30106544,32.64192,0.0991999954,32.64192,0.0599847734,
33.144435,16.10683441,33.144435,16.25865936,33.144435,0.3967999816,33.144435,0.08522628248,
33.647792,16.00048828,33.647792,16.14964867,33.647792,1.277199984,33.647792,0.7498598695,
34.151784,15.65244102,34.151784,16.00957298,34.151784,2.889199972,34.151784,1.569483399,
34.654816,15.4397459,34.654816,15.84259415,34.654816,3.595999956,34.654816,2.489473581,
35.145936,15.28505802,35.145936,15.67301846,35.145936,3.992799997,35.145936,3.374857187,
35.649144,15.19804668,35.649144,15.52544594,35.649144,4.327600002,35.649144,3.901222706,
36.152365,15.11103439,36.152365,15.39657211,36.152365,4.835999966,36.152365,4.354468346,
36.655615,15.20771408,36.655615,15.29502201,36.655615,4.87319994,36.655615,4.656322956,
37.158767,15.15937424,37.158767,15.21749115,37.158767,4.835999966,37.158767,4.749988079,
37.661936,15.01435471,37.661936,15.16119957,37.661936,4.674799919,37.661936,4.76719141,
38.165185,15.0433588,38.165185,15.1287508,38.165185,4.811200142,38.165185,4.772562027,
38.656442,14.84999943,38.656442,14.99370575,38.656442,7.043200016,38.656442,5.699893475,
39.159546,14.99501896,39.159546,14.92603207,39.159546,5.604799747,39.159546,5.744915485,
39.662789,14.89833927,39.662789,14.87579918,39.662789,5.331999779,39.662789,5.631261349,
40.165981,15.58476543,40.165981,14.84598064,40.165981,5.418799877,40.165981,5.569698334,
40.66918,14.76298809,40.66918,14.82787323,40.66918,4.848399639,40.66918,5.515214443,
41.172573,14.68564415,41.172573,14.80158043,41.172573,5.72879982,41.172573,5.569860458,
41.67563,14.75331974,41.67563,14.78688622,41.67563,5.579999924,41.67563,5.543279171,
42.16676,14.86933517,42.16676,14.76430321,42.16676,5.406399727,42.16676,5.491192818,
42.665979,14.81132793,42.665979,14.74712181,42.665979,4.761600018,42.665979,5.403080463,
43.169166,15.0433588,43.169166,14.77540112,43.169166,4.761600018,43.169166,5.147902012,
44.679584,15.101367,44.679584,14.91035461,44.679584,4.240799904,44.679584,4.319979668,
45.182965,15.06269455,45.182965,14.93033504,45.182965,4.277999878,45.182965,4.267268181,
45.685217,14.91767502,45.685217,14.92862511,45.685217,4.488800049,45.685217,4.250764847,
46.189122,14.97568321,46.189122,14.93772411,46.189122,4.042399883,46.189122,4.254088402,
46.680392,15.05302715,46.680392,14.93596268,46.680392,4.178800106,46.680392,4.196746826,
47.1835,15.00468731,47.1835,14.93552399,47.1835,4.116799831,47.1835,4.169727325,
47.6868,14.74365139,47.6868,14.92344952,47.6868,4.116799831,47.6868,4.174027443,
48.189973,14.90800762,48.189973,14.91456127,48.189973,4.302799702,48.189973,4.178233147,
48.693167,14.92734337,48.693167,14.92277813,48.693167,4.092000008,48.693167,4.162678242,
49.196345,14.57929611,49.196345,14.85757637,49.196345,6.39839983,49.196345,4.654391289,
49.699585,14.7049799,49.699585,14.77279472,49.699585,5.455999851,49.699585,5.142033577,
50.190752,14.45361233,50.190752,14.73441601,50.190752,5.381599903,50.190752,5.148672581,
50.69399,14.74365139,50.69399,14.70682144,50.69399,4.811200142,50.69399,5.010728359,
51.197178,14.78232384,51.197178,14.68350983,51.197178,5.183199883,51.197178,5.055172443,
51.700413,14.71464825,51.700413,14.64894485,51.700413,5.170799732,51.700413,5.161174774,
52.203537,14.57929611,52.203537,14.62887478,52.203537,5.232800007,52.203537,5.186276913,
52.694777,14.31826115,52.694777,14.59722233,52.694777,5.790800095,52.694777,5.273582458,
53.19795,14.6663084,53.19795,14.58736134,53.19795,5.084000111,53.19795,5.274533749,
53.701207,14.6663084,53.701207,14.58914375,53.701207,4.57559967,53.701207,5.103923321,
54.204387,14.74365139,54.204387,14.6421423,54.204387,4.067200184,54.204387,4.708255768,
54.707556,14.87900352,54.707556,14.68601322,54.707556,4.017599583,54.707556,4.402014732,
55.210715,14.6469717,55.210715,14.71218491,55.210715,4.612800121,55.210715,4.276531219,
