battery_status->voltage_v_x,battery_status->voltage_v_y,battery_status->voltage_filtered_v_x,battery_status->voltage_filtered_v_y,battery_status->current_a_x,battery_status->current_a_y,battery_status->current_filtered_a_x,battery_status->current_filtered_a_y
28.75515,15.46874905,28.75515,15.54156494,28.75515,0,28.75515,0.001076475834
29.256779,15.4784174,29.256779,15.50617599,29.256779,0,29.256779,0.0004607865994
29.758318,15.28505802,29.758318,15.45989704,29.758318,0.9052000046,29.758318,0.2517753243
30.25994,15.09169865,30.25994,15.34844685,30.25994,3.769600153,30.25994,1.293968678
30.761507,14.44394493,30.761507,15.14841366,30.761507,7.663199902,30.761507,3.909445763
31.263894,14.63730431,31.263894,14.87548447,31.263894,14.48320007,31.263894,7.914319038
31.765473,14.38593674,31.765473,14.63382721,31.765473,16.54159927,31.765473,10.60826302
32.267165,13.44814396,32.267165,14.39247036,32.267165,16.14480019,32.267165,13.59014893
32.768633,14.57929611,32.768633,14.19645405,32.768633,16.77719879,32.768633,14.92546463
33.270364,14.41494083,33.270364,14.19435883,33.270364,8.481599808,33.270364,12.95462418
33.772683,14.12490177,33.772683,14.13875484,33.772683,12.32559967,33.772683,12.54914474
34.274309,14.15390587,34.274309,14.11849308,34.274309,12.85879898,34.274309,11.99939823
34.776208,13.58349514,34.776208,14.11900234,34.776208,8.28319931,34.776208,11.40795135
35.27759,14.17324162,35.27759,14.1651392,35.27759,8.06000042,35.27759,10.00727558
35.779095,14.18290997,35.779095,14.17625046,35.779095,10.06879902,35.779095,9.809539795
36.281562,14.18290997,36.281562,14.17488766,36.281562,8.878399849,36.281562,9.903044701
36.783183,14.43427658,36.783183,14.14899254,36.783183,11.07319927,36.783183,10.10412025
37.284693,14.16357327,37.284693,14.16663074,37.284693,10.75079918,37.284693,9.644042015
37.786413,13.94121075,37.786413,14.12265491,37.786413,12.54879951,37.786413,10.22906876
38.288745,14.3279295,38.288745,14.12867069,38.288745,8.345199585,38.288745,10.00728893
38.790301,14.05722618,38.790301,14.13704395,38.790301,11.42040062,38.790301,9.797491074
39.280558,14.08623028,39.280558,14.12811947,39.280558,11.2840004,39.280558,9.76139164
39.78144,14.19257736,39.78144,14.11007309,39.78144,10.22999954,39.78144,9.864817619
40.28383,13.95087814,40.28383,14.09815502,40.28383,9.845600128,40.28383,9.78452301
40.785385,14.18290997,40.785385,14.09190655,40.785385,10.76319981,40.785385,9.783768654
41.28716,14.24091721,41.28716,14.072155,41.28716,8.171599388,41.28716,9.758711815
41.788791,13.91220665,41.788791,14.05084991,41.788791,8.072400093,41.788791,9.929397583
42.290305,13.97021389,42.290305,14.05831814,42.290305,9.647199631,42.290305,9.582837105
42.79271,13.88320255,42.79271,14.03913307,42.79271,10.34159946,42.79271,9.932292938
43.294336,14.03789043,43.294336,14.01575565,43.294336,11.34599972,43.294336,9.81974411
43.795916,14.08623028,43.795916,14.00028324,43.795916,9.783599854,43.795916,10.06091881
44.297535,14.00888634,44.297535,13.94438553,44.297535,10.89960003,44.297535,10.74193668
44.799165,13.60283184,44.799165,13.95144367,44.799165,10.45319939,44.799165,10.17031193
45.289589,13.97021389,45.289589,13.91889191,45.289589,9.709199905,45.289589,10.46929264
45.791079,14.03789043,45.791079,13.91178417,45.791079,11.63119984,45.791079,10.45541
46.292764,14.15390587,46.292764,13.86568451,46.292764,8.481599808,46.292764,10.79950905
46.794366,14.01855373,46.794366,13.8707962,46.794366,9.151199341,46.794366,10.2963419
47.295986,13.66083908,47.295986,13.84160233,47.295986,11.84200001,47.295986,10.62429523
47.798344,13.74785137,47.798344,13.78978157,47.798344,12.05279922,47.798344,11.43503189
48.299911,13.554492,48.299911,13.74943638,48.299911,11.53199959,48.299911,11.70030212
48.801534,13.88320255,48.801534,13.73125172,48.801534,11.18479919,48.801534,11.67233849
49.303001,13.77685452,49.303001,13.75396824,49.303001,10.56479931,49.303001,10.98253345
49.804716,13.88320255,49.804716,13.80220699,49.804716,10.11840057,49.804716,10.24982357
50.307078,13.8928709,50.307078,13.76613903,50.307078,9.746399879,50.307078,10.75958824
50.80871,13.70917892,50.80871,13.74253559,50.80871,10.65159988,50.80871,10.79822445
51.310379,13.47714806,51.310379,13.73522854,51.310379,11.20959949,51.310379,11.04323387
51.811958,13.79619122,51.811958,13.71418571,51.811958,9.982000351,51.811958,11.03411961
52.314312,14.03789043,52.314312,13.74128819,52.314312,10.77559948,52.314312,10.53270626
52.815856,13.35146427,52.815856,13.75727558,52.815856,11.64359951,52.815856,10.10220337
53.317609,13.32246017,53.317609,13.73333073,53.317609,10.9864006,53.317609,10.50681114
53.819077,13.82519436,53.819077,13.77060413,53.819077,8.184000015,53.819077,9.942694664
54.308776,13.82519436,54.308776,13.75740814,54.308776,10.27960014,54.308776,10.18805218
54.81113,13.69951153,54.81113,13.71533775,54.81113,10.53999996,54.81113,10.67945576
55.312779,13.554492,55.312779,13.71338081,55.312779,10.66399956,55.312779,10.75916862
55.814318,13.56415939,55.814318,13.69157791,55.814318,11.0607996,55.814318,10.66688919
56.315889,13.4964838,56.315889,13.66599751,56.315889,11.19719982,56.315889,11.18980122
56.81839,13.38046837,56.81839,13.61423111,56.81839,11.20959949,56.81839,11.44908524
57.319923,13.554492,57.319923,13.57698345,57.319923,13.81359959,57.319923,11.60918713
57.821556,13.43847561,57.821556,13.54681587,57.821556,11.55679989,57.821556,12.08841515
58.323147,13.46747971,58.323147,13.48762226,58.323147,12.67279911,58.323147,12.58855915
58.820756,13.96054649,58.820756,13.54634476,58.820756,9.796000481,58.820756,11.52444839
59.322376,13.47714806,59.322376,13.55897522,59.322376,10.37879944,59.322376,11.02538967
59.824738,13.08076096,59.824738,13.55824852,59.824738,12.69759941,59.824738,11.17839718
60.326333,13.63183498,60.326333,13.52777958,60.326333,10.57719994,60.326333,11.41263485
60.828722,12.95507717,60.828722,13.44827652,60.828722,14.13599968,60.828722,12.50265789
61.329543,13.16777325,61.329543,13.39192009,61.329543,12.62319946,61.329543,13.0265913
61.83113,13.26445293,61.83113,13.3461628,61.83113,12.43719959,61.83113,13.23780537
62.333502,13.41913986,62.333502,13.34686375,62.333502,11.56919956,62.333502,12.92819309
62.835154,13.73818302,62.835154,13.38713074,62.835154,10.50279903,62.835154,12.07797909
63.336719,13.5254879,63.336719,13.42482471,63.336719,11.56919956,63.336719,11.3710537
63.83833,13.54482365,63.83833,13.45305634,63.83833,11.76760006,63.83833,11.31064701
64.340765,13.40947247,64.340765,13.44634628,64.340765,11.42040062,64.340765,11.43292236
64.842436,13.68984318,64.842436,13.46238041,64.842436,12.39999962,64.842436,11.30938339
65.343835,13.39980412,65.343835,13.46068859,65.343835,12.36279964,65.343835,11.41123009
65.845598,13.64150333,65.845598,13.463871,65.845598,11.40799999,65.845598,11.38626003
66.347766,13.32246017,66.347766,13.43116093,66.347766,10.78800011,66.347766,11.71392059
66.848717,13.46747971,66.848717,13.41620541,66.848717,12.62319946,66.848717,11.75462723
67.351204,13.54482365,67.351204,13.41664886,67.351204,11.64359951,67.351204,11.56191635
67.852781,13.36113262,67.852781,13.4090271,67.852781,11.74279976,67.852781,11.64866161
68.354283,13.61249924,68.354283,13.42917538,68.354283,11.84200001,68.354283,11.31400204
68.85594,13.75751877,68.85594,13.4657774,68.85594,9.808400154,68.85594,10.94869328
69.357661,13.68984318,69.357661,13.51899052,69.357661,9.349599838,69.357661,10.50539589
69.85993,13.03242111,69.85993,13.52245522,69.85993,12.10239983,69.85993,10.28666687
70.349595,12.90673733,70.349595,13.50005722,70.349595,12.47440052,70.349595,10.61920738
70.851136,13.82519436,70.851136,13.45018196,70.851136,11.12279987,70.851136,11.41363621
71.352807,12.7810545,71.352807,13.42393684,71.352807,14.59479904,71.352807,11.68036747
71.854333,13.1000967,71.854333,13.15524864,71.854333,13.75160027,71.854333,15.30168533
72.356741,12.84873009,72.356741,13.05936718,72.356741,14.74359989,72.356741,15.60017204
72.866314,12.65537071,72.866314,13.04073334,72.866314,14.06159973,72.866314,14.9417696
