"vehicle_air_data->baro_alt_meter_x","vehicle_air_data->baro_alt_meter_y","battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y","actuator_controls_0->control[0]_x","actuator_controls_0->control[0]_y","actuator_controls_0->control[1]_x","actuator_controls_0->control[1]_y","actuator_controls_0->control[2]_x","actuator_controls_0->control[2]_y","actuator_controls_0->control[3]_x","actuator_controls_0->control[3]_y","vehicle_local_position->ax_x","vehicle_local_position->ax_y","vehicle_local_position->ay_x","vehicle_local_position->ay_y","vehicle_local_position->az_x","vehicle_local_position->az_y","vehicle_local_position->vx_x","vehicle_local_position->vx_y","vehicle_local_position->vy_x","vehicle_local_position->vy_y","vehicle_local_position->vz_x","vehicle_local_position->vz_y"
69.988059,146.7279968,76.269582,14.6663084,76.269582,14.44302368,76.269582,9.796000481,76.269582,11.14322758,71.080412,0.1112007499,71.080412,-0.08045704663,71.080412,0.00875152275,71.080412,0.1781109571,71.175479,11.15923309,71.175479,-3.845680475,71.175479,10.00319767,71.175479,0.2432397902,71.175479,-0.1413613558,71.175479,0.0002895402722,
69.999057,146.6434479,76.771166,14.55996037,76.771166,14.45096016,76.771166,9.944799423,76.771166,10.82244015,71.179563,0.3486379981,71.179563,-0.2594997883,71.179563,0.01002573501,71.179563,0.20959194,71.279478,3.968668461,71.279478,3.538970947,71.279478,2.912002802,71.279478,0.1856413186,71.279478,-0.1107349321,71.279478,-0.03418853134,
70.021207,146.0515747,77.273618,14.49228477,77.273618,14.4437542,77.273618,10.41600037,77.273618,10.5597887,71.283566,0.1288928539,71.283566,-0.07631320506,71.283566,0.03312957287,71.283566,0.2456704974,71.382678,-6.920901299,71.382678,0.1257311106,71.382678,-6.222533703,71.382678,0.1871125698,71.382678,-0.1313775182,71.382678,-0.04425805435,
70.032307,146.3052368,77.775865,14.55029202,77.775865,14.43542576,77.775865,9.969599724,77.775865,10.31258011,71.382793,0.1893261373,71.382793,-0.1759835184,71.382793,-0.003892409848,71.382793,0.2770683765,71.486678,23.33944511,71.486678,-3.956963539,71.486678,-8.158051491,71.486678,0.232268095,71.486678,-0.1322751194,71.486678,-0.06713172048,
70.043051,146.3897858,78.278344,14.49228477,78.278344,14.44242382,78.278344,10.40359974,78.278344,10.04511452,71.486799,-0.04466850311,71.486799,-0.2433693707,71.486799,0.05213461816,71.486799,0.3095350862,71.581885,5.108371735,71.581885,0.03931756318,71.581885,-2.861287355,71.581885,0.166473493,71.581885,-0.1093902886,71.581885,-0.09934918582,
70.065142,146.5588989,78.78,14.13457012,78.78,14.28882504,78.78,16.6283989,78.78,13.12665939,71.585956,0.1957372278,71.585956,-0.2566421628,71.585956,-0.01204015408,71.585956,0.3245678544,71.685878,0.009642557241,71.685878,0.8499652743,71.685878,5.959657192,71.685878,0.03951920941,71.685878,-0.06686908007,71.685878,-0.148871094,
70.075394,146.89711,79.282369,13.62216759,79.282369,14.27008152,79.282369,9.076799393,79.282369,12.47611046,71.685962,-0.06455525756,71.685962,0.08205275238,71.685962,-0.02904774994,71.685962,0.3446069658,71.789087,14.66979504,71.789087,-3.102993011,71.789087,4.050941944,71.789087,-0.005354667082,71.789087,-0.0524469763,71.789087,-0.1715465486,
70.086055,147.0635834,79.784049,14.3279295,79.784049,14.34600163,79.784049,8.940400124,79.784049,10.23900509,71.789206,-0.2008225471,71.789206,0.1589397937,71.789206,0.01667792536,71.789206,0.3716882169,71.893093,3.290542364,71.893093,3.644637585,71.893093,-12.54589653,71.893093,-0.07779958099,71.893093,-0.03239841014,71.893093,-0.2119511366,
70.108727,146.3052368,80.286314,14.27958965,80.286314,14.35310268,80.286314,10.20519924,80.286314,9.955125809,71.889159,-0.2296557277,71.889159,0.4185910821,71.889159,-0.00940565858,71.889159,0.3997638822,71.996278,-1.279886723,71.996278,0.2974171638,71.996278,5.048881054,71.996278,-0.2029050142,71.996278,0.04263871163,71.996278,-0.2081203163,
70.119396,146.6434479,80.788724,14.2989254,80.788724,14.36279202,80.788724,8.469199181,80.788724,9.95969677,71.992356,0.02065949515,71.992356,0.1837154329,71.992356,0.04083481058,71.992356,0.4282165766,72.092278,-5.954964161,72.092278,4.984991074,72.092278,3.128430605,72.092278,-0.3470832705,72.092278,0.13315323,72.092278,-0.2172228694,
70.130102,146.5588989,81.290326,14.25058556,81.290326,14.38302708,81.290326,8.084799767,81.290326,9.49021244,72.092363,0.09637071937,72.092363,-0.03800025582,72.092363,0.05891217291,72.092363,0.4561355114,72.195511,-5.210097313,72.195511,-5.951644897,72.195511,10.42330647,72.195511,-0.5136685967,72.195511,0.1809839457,72.195511,-0.2554673254,
70.152209,146.812561,81.792713,14.65664005,81.792713,14.36462975,81.792713,8.903199196,81.792713,9.796496391,72.195589,-0.1005949602,72.195589,0.3570197821,72.195589,0.04342912138,72.195589,0.49587062,72.299498,5.701402664,72.299498,-4.771307468,72.299498,-10.00917816,72.299498,-0.5530920625,72.299498,0.1995066702,72.299498,-0.5008413792,
70.163414,146.9790192,82.295101,14.45361233,82.295101,14.35977364,82.295101,12.39999962,82.295101,9.636276245,72.295559,-0.03360352293,72.295559,0.02358173206,72.295559,0.02835244685,72.295559,0.4873330593,72.402696,11.49001312,72.402696,2.794701099,72.402696,-14.61020756,72.402696,-0.579253912,72.402696,0.2175475806,72.402696,-0.6898515224,
70.174066,146.3897858,82.785502,14.33759689,82.785502,14.34943676,82.785502,9.27519989,82.785502,9.529117584,72.39957,-0.05331278592,72.39957,0.04891803488,72.39957,0.03424248472,72.39957,0.4894112647,72.498678,-7.682334423,72.498678,-0.1753141433,72.498678,-5.986944199,72.498678,-0.6400207281,72.498678,0.2054108083,72.498678,-0.8396393657,
70.196681,146.89711,83.287666,14.14423752,83.287666,14.3052454,83.287666,9.882799149,83.287666,10.26034164,72.498756,-0.07252188772,72.498756,0.004412268288,72.498756,0.04801551253,72.498756,0.4937514067,72.602678,-14.30432796,72.602678,1.885411739,72.602678,-9.893350601,72.602678,-0.650339365,72.602678,0.1876484305,72.602678,-1.00793767,
70.207399,146.7279968,83.789618,14.01855373,83.789618,14.22830772,83.789618,12.78439999,83.789618,11.06411934,72.602757,-0.0372482948,72.602757,-0.1849785447,72.602757,0.02785661072,72.602757,0.5052035451,72.705878,2.163466215,72.705878,1.088147163,72.705878,-3.668832541,72.705878,-0.6163472533,72.705878,0.1646770239,72.705878,-1.129631162,
70.217152,146.6434479,84.290315,14.45361233,84.290315,14.23782825,84.290315,8.642799377,84.290315,10.40253639,72.701973,0.02223618887,72.701973,0.3265203834,72.701973,0.01770229824,72.701973,0.5152869821,72.809922,-4.800419331,72.809922,2.531927109,72.809922,-14.80012035,72.809922,-0.5954563618,72.809922,0.1131085902,72.809922,-1.345987678,
70.238766,147.1507721,84.793622,14.17324162,84.793622,14.2226162,84.793622,8.506400108,84.793622,10.33526134,72.805956,-0.0611176528,72.805956,-0.1857133806,72.805956,0.02016456798,72.805956,0.5276874304,72.905878,-0.6672204137,72.905878,-1.428602695,72.905878,-9.410738945,72.905878,-0.5617311597,72.905878,0.05163194984,72.905878,-1.484781742,
70.249138,146.7279968,85.295944,14.24091721,85.295944,14.21394444,85.295944,8.605599403,85.295944,10.10196304,72.90596,0.0230917614,72.90596,-0.2398444861,72.90596,-0.005256358534,72.90596,0.5419957042,73.005092,3.017956972,73.005092,2.759740353,73.005092,0.9901673794,73.005092,-0.5084373355,73.005092,0.03031999059,73.005092,-1.587896824,
70.260052,146.9790192,85.798364,13.59316349,85.798364,14.18764973,85.798364,11.01119995,85.798364,10.31786156,73.009218,0.05056779087,73.009218,-0.2272310853,73.009218,-0.02342393994,73.009218,0.5484247804,73.108285,-5.227477074,73.108285,-1.639458776,73.108285,-0.8540638089,73.108285,-0.4945217371,73.108285,0.01253561396,73.108285,-1.754013538,
70.282057,146.3052368,86.299925,14.15390587,86.299925,14.18393898,86.299925,11.47000027,86.299925,9.976406097,73.108363,-0.002547893208,73.108363,0.103291437,73.108363,-0.02245572209,73.108363,0.5642136335,73.212281,-4.200126171,73.212281,-3.119184494,73.212281,-12.37281036,73.212281,-0.4502538741,73.212281,0.02138951607,73.212281,-1.92663753,
70.292206,146.4743347,86.802356,14.25058556,86.802356,14.16695023,86.802356,10.40359974,86.802356,10.13504028,73.212372,0.02759883925,73.212372,0.08623668551,73.212372,-0.02927843109,73.212372,0.5823155642,73.315478,2.765230656,73.315478,4.201278687,73.315478,22.16786194,73.315478,-0.4054781497,73.315478,0.05839644745,73.315478,-2.069157124,
70.303546,146.7279968,87.303974,13.58349514,87.303974,14.12867069,87.303974,11.55679989,87.303974,10.35960865,73.315558,-0.05902190879,73.315558,0.09199783206,73.315558,-0.01556747779,73.315558,0.5776453018,73.411478,0.3127126992,73.411478,8.930300713,73.411478,1.347887516,73.411478,-0.3645052314,73.411478,0.03746637329,73.411478,-2.267503262,
70.324061,146.6434479,87.806343,14.24091721,87.806343,14.07907677,87.806343,10.96159935,87.806343,10.89013386,73.415595,0.02781077288,73.415595,-0.1994217187,73.415595,-0.06336189806,73.415595,0.5701225996,73.518678,2.14191699,73.518678,-8.069213867,73.518678,-0.8466765881,73.518678,-0.3160296082,73.518678,-0.01023516525,73.518678,-2.432105541,
70.335565,147.3172455,88.308833,13.92187405,88.308833,14.04236889,88.308833,9.882799149,88.308833,10.70165062,73.518757,-0.07908333093,73.518757,0.1553689539,73.518757,-0.140531987,73.518757,0.5285550356,73.614678,0.5493248701,73.614678,0.06251908839,73.614678,5.289066792,73.614678,-0.2663367987,73.614678,0.01607698761,73.614678,-2.47895813,
70.346403,146.6434479,88.811142,13.99921799,88.811142,14.06982613,88.811142,10.26719952,88.811142,10.14790249,73.618763,-0.1144723296,73.618763,-0.5241404772,73.618763,-0.1367179453,73.618763,0.5044312477,73.717885,-8.256174088,73.717885,4.753437996,73.717885,-22.58599472,73.717885,-0.2406438142,73.717885,0.05532784015,73.717885,-2.598350048,
70.36754,146.3052368,89.313378,14.06689358,89.313378,14.10440731,89.313378,7.638399601,89.313378,9.685861588,73.72196,-0.03949901462,73.72196,-0.03653161228,73.72196,-0.1276029497,73.72196,0.4705818295,73.821878,-9.210029602,73.821878,-6.271820545,73.821878,-11.91707611,73.821878,-0.2204553038,73.821878,0.0582915023,73.821878,-2.573789358,
70.378057,146.2206726,89.815097,13.16777325,89.815097,14.1308918,89.815097,11.80479908,89.815097,9.20585537,73.821999,0.1678783894,73.821999,-0.1997249275,73.821999,-0.1212582514,73.821999,0.4560904503,73.925097,-9.606469154,73.925097,-1.581178427,73.925097,4.327568531,73.925097,-0.1916474253,73.925097,0.09235672653,73.925097,-2.48502326,
70.389128,146.6434479,90.316821,13.85419846,90.316821,14.09760189,90.316821,11.65600014,90.316821,9.844856262,73.925175,-0.04962827638,73.925175,-0.05294949934,73.925175,-0.1018299982,73.925175,0.4467965066,74.021078,-4.119141579,74.021078,-8.695537567,74.021078,-2.282100677,74.021078,-0.1508075744,74.021078,0.064604491,74.021078,-2.375278711,
70.410069,146.4743347,90.815154,14.08623028,90.815154,14.07650661,90.815154,10.39120007,90.815154,10.14624119,74.025185,-0.07108998299,74.025185,-0.4168531001,74.025185,-0.07337190956,74.025185,0.4516757131,74.124278,-2.073785543,74.124278,-7.762561321,74.124278,-16.82935715,74.124278,-0.1543710828,74.124278,0.09872402251,74.124278,-2.340241909,
70.421196,146.89711,91.317614,13.97021389,91.317614,14.00115395,91.317614,11.19719982,91.317614,10.9077425,74.127573,-0.1165790856,74.127573,0.07339904457,74.127573,-0.02956824191,74.127573,0.477948308,74.22832,6.308799267,74.22832,3.79625535,74.22832,7.040206432,74.22832,-0.1428139508,74.22832,0.1445389837,74.22832,-2.214557886,
70.432064,147.2326813,91.819148,14.12490177,91.819148,13.95226192,91.819148,10.49040031,91.819148,11.18184662,74.228398,-0.1130650118,74.228398,0.05141980574,74.228398,-0.02093977854,74.228398,0.4770455956,74.33228,-8.963222504,74.33228,7.158322811,74.33228,-0.9496189952,74.33228,-0.1677529663,74.33228,0.2188039869,74.33228,-2.157369614,
70.454775,146.6434479,92.321539,13.84453106,92.321539,13.94004726,92.321539,11.61879921,92.321539,10.88193893,74.332358,0.1214677766,74.332358,0.0635548532,74.332358,-0.04457765818,74.332358,0.4820782244,74.427485,2.190603018,74.427485,-0.2581349313,74.427485,17.93313599,74.427485,-0.1446514577,74.427485,0.2103889585,74.427485,-2.10390377,
70.466449,146.4743347,92.823979,14.12490177,92.823979,13.92212868,92.823979,10.83759975,92.823979,10.73459911,74.431549,0.1861537546,74.431549,-0.2776631117,74.431549,-0.01733618602,74.431549,0.4735201597,74.531478,1.888638735,74.531478,-3.115033388,74.531478,7.553401947,74.531478,-0.1053820103,74.531478,0.1896773577,74.531478,-2.089557886,
70.477098,146.3052368,93.325426,14.05722618,93.325426,13.9668417,93.325426,10.21759987,93.325426,10.05817604,74.53155,-0.08295655996,74.53155,0.01379469316,74.53155,-0.01559907012,74.53155,0.4752489328,74.63469,1.990065336,74.63469,-0.8775190115,74.63469,0.934401989,74.63469,-0.07682684809,74.63469,0.1889738292,74.63469,-2.093472481,
70.499387,145.9670105,93.827916,14.05722618,93.827916,13.97288895,93.827916,8.754400253,93.827916,10.07653141,74.634761,-0.05775434151,74.634761,0.008611090481,74.634761,-0.02564259432,74.634761,0.4792721272,74.730678,-4.087660313,74.730678,-6.851408958,74.730678,8.161188126,74.730678,-0.05652267858,74.730678,0.1550765336,74.730678,-2.029037476,
70.510753,146.3052368,94.330283,14.24091721,94.330283,13.99068737,94.330283,9.312399864,94.330283,9.74565506,74.734749,-0.08624537289,74.734749,-0.2989931703,74.734749,0.0008450467139,74.734749,0.4728365541,74.837878,7.515512943,74.837878,-4.944223404,74.837878,24.01638985,74.837878,-0.01451715641,74.837878,0.1487060487,74.837878,-1.966602564,
70.521106,146.2206726,94.831892,14.24091721,94.831892,14.05297852,94.831892,7.402800083,94.831892,9.063199043,74.83795,-0.07158818841,74.83795,0.4517193139,74.83795,0.004337904975,74.83795,0.482388109,74.933883,-3.420055389,74.933883,-2.246486425,74.933883,-10.42225647,74.933883,-0.04040307924,74.933883,0.1437132061,74.933883,-2.037817717,
70.542626,146.2206726,95.322363,13.71884727,95.322363,14.02983761,95.322363,9.423999786,95.322363,9.331703186,74.937987,-0.01844278909,74.937987,0.09272433817,74.937987,0.008680818602,74.937987,0.4647538364,75.037085,10.64581966,75.037085,4.282556057,75.037085,-1.675782323,75.037085,-0.01790520363,75.037085,0.1292533726,75.037085,-1.970725656,
70.553152,146.812561,95.824735,13.14843655,95.824735,14.01353264,95.824735,12.48679924,95.824735,9.418194771,75.041202,0.1068933979,75.041202,-0.05778591707,75.041202,0.02936287969,75.041202,0.4592427611,75.141079,-3.136870623,75.141079,-6.066478252,75.141079,-3.485876322,75.141079,-0.01482182276,75.141079,0.08918990195,75.141079,-1.89781189,
